"term","description","category","English","Japanese","Russian","French","German","Spanish","Portuguese (Brazil)","Chinese (Simplified)","Chinese (Traditional)","Korean","PolskI","Output Localization"
"Achievements/TAKE_CONFESSION/Description","Hear a followers confession for the first time","100","Take confession.","告解を受ける","Выслушать исповедь.","Écouter une confession.","Nimm eine Beichte ab.","Escucha una confesión.","Ouça uma confissão.","听取告解。","聽取告解。","고해성사를 받습니다.","Wyspowiadaj się.","""Achievements/TAKE_CONFESSION/Description"", """""
"Achievements/FIND_ALL_LOCATIONS","Discover all Locations on the World Map","25","Leader of the Crusade","聖戦の先導者","Священный поход","Croisades spirituelles","Anführer des Kreuzzugs","Líder de la cruzada","Líder da Cruzada","圣战领袖","聖戰領袖","성전의 지도자","Przywódca Krucjaty","""Achievements/FIND_ALL_LOCATIONS"", """""
"Achievements/FIND_ALL_LOCATIONS/Description","Discover all Locations on the World Map","100","Find all 5 locations.","訪れることができる5つの場所すべてを見つける","Открыть все 5 точки на карте.","Découvrir les cinq zones.","Finde alle 5 Orte.","Descubre las 5 ubicaciones.","Encontre os 5 locais.","找出全部 5 个地点。","找出全部 5 個地點。","모든 5 지역을 찾아냅니다.","Znajdź wszystkie 5 lokacji.","""Achievements/FIND_ALL_LOCATIONS/Description"", """""
"Achievements/FIX_LIGHTHOUSE","Fix the lighthouse furnace","25","Bringer of Light","光をもたらす者","Светоч","Porte-lumière","Bringer des Lichts","Hacedor de luz","Portador da Luz","带来光明者","帶來光明者","빛을 가져오는 자","Przynoszący światło","""Achievements/FIX_LIGHTHOUSE"", """""
"Achievements/FIX_LIGHTHOUSE/Description","Fix the lighthouse furnace","100","Reignite the lighthouse.","灯台に再び光を灯す","Зажечь огонь на маяке.","Rallumer le Phare.","Entfache den Leuchtturm erneut.","Ilumina el faro.","Reacenda o farol.","重新点燃灯塔。","重新點燃燈塔。","등대를 다시 밝힙니다.","Zapal ponownie latarnię morską.","""Achievements/FIX_LIGHTHOUSE/Description"", """""
"Achievements/ALL_SKINS_UNLOCKED","Unlock all follower skins in the game","25","Full Flock","完全なる群れ","Многоликая община","Troupeau au complet","Vollständige Herde","Rebaño al completo","Rebanho Completo","教众完满","徒眾完滿","무리 완성","Pełne stado","""Achievements/ALL_SKINS_UNLOCKED"", """""
"Achievements/ALL_SKINS_UNLOCKED/Description","Unlock all follower skins in the game","100","Unlock all Follower Skins.","すべての信者スキンをアンロックする","Открыть все облики последователей.","Débloquer toutes les apparences d'adepte.","Schalte alle Anhänger-Skins frei.","Desbloquea todos los atuendos de los adeptos.","Desbloqueie todos os visuais de Seguidores.","解锁所有教徒皮肤。","解鎖所有教徒外觀。","모든 추종자 스킨을 해금합니다.","Odblokuj wszystkie formy Wyznawców.","""Achievements/ALL_SKINS_UNLOCKED/Description"", """""
"Achievements/ALL_TAROTS_UNLOCKED","Unlock all Tarot cards in the game","25","Full Deck","フルデッキ","Полная колода","Collection complète","Vollständiger Kartenstapel","Baraja al completo","Baralho Completo","牌好无缺","牌好無缺","덱 완성","Pełna talia","""Achievements/ALL_TAROTS_UNLOCKED"", """""
"Achievements/ALL_TAROTS_UNLOCKED/Description","Unlock all Tarot cards in the game","100","Unlock all tarot cards.","すべてのタロットカードをアンロックする","Открыть все карты Таро.","Débloquer toutes les cartes de tarot.","Schalte alle Tarotkarten frei.","Desbloquea todas las cartas del tarot.","Desbloqueie todas as cartas de tarô.","解锁所有塔罗牌。","解鎖所有塔羅牌。","모든 타로 카드를 해금합니다.","Odblokuj wszystkie karty tarota.","""Achievements/ALL_TAROTS_UNLOCKED/Description"", """""
"Achievements/FISH_ALL_TYPES","Catch all Fish types in the game","25","Teach a Lamb to Fish","釣りバカ子羊","Рыбное ассорти","Un Agneau sachant pêcher","Lehre ein Lamm zu fischen","Enseña a un Cordero a pescar","Ensine um Cordeiro a Pescar","教羊钓鱼","教羊釣魚","물고기를 잡는 법","Naucz Baranka łowić ryby","""Achievements/FISH_ALL_TYPES"", """""
"Achievements/FISH_ALL_TYPES/Description","Catch all Fish types in the game","100","Catch 1 of every fish.","全種類の魚を1匹以上釣り上げる","Поймать по одной рыбе каждого вида.","Pêcher chaque poisson une fois.","Fange 1 Exemplar jeder Fischart.","Pesca un pez de cada tipo.","Pesque um peixe de cada tipo.","每种鱼各捕获 1 条。","每種魚各捕獲 1 條。","모든 물고기를 1 종류씩 잡습니다.","Złap po 1 sztuce każdej ryby.","""Achievements/FISH_ALL_TYPES/Description"", """""
"Achievements/FIRST_RITUAL","Perform your first Ritual at the temple","25","Crosser of Thresholds","一線を超えし者","Преодоление порога","Rites ancestraux","Überschreiter von Schwellen","A través del umbral","Cruzador de Linhas","跨越门坎者","跨越門檻者","경계를 넘는 자","Przekraczający progi","""Achievements/FIRST_RITUAL"", """""
"Achievements/FIRST_RITUAL/Description","Perform your first Ritual at the temple","100","A new world awaits.","その先に待つは新たな世界","Сделать шаг в новый мир.","Un nouveau monde vous attend.","Eine neue Welt erwartet dich.","Un nuevo mundo te espera.","Um novo mundo está à espera.","新世界正等着你。","新世界正等著你。","새로운 세계가 기다립니다.","Nowy świat czeka.","""Achievements/FIRST_RITUAL/Description"", """""
"Achievements/FIRST_SACRIFICE","Sacrifice a Follower at the temple","25","Sacrificial Beast","贄なる獣","Заклание","Bête sacrificielle","Opferlamm","Ofrenda bestial","Animal de Sacrifício","献祭狂兽","獻祭狂獸","제물로 바쳐진 짐승","Ofiarna bestia","""Achievements/FIRST_SACRIFICE"", """""
"Achievements/FIRST_SACRIFICE/Description","Sacrifice a Follower at the temple","100","Sacrifice a Follower.","信者を生贄にする","Принести последователя в жертву.","Sacrifier un adepte.","Opfere einen Anhänger.","Sacrifica a un adepto.","Sacrifique um Seguidor","献祭一位教徒。","獻祭一位教徒。","추종자 하나를 번제합니다.","Poświęć Wyznawcę.","""Achievements/FIRST_SACRIFICE/Description"", """""
"Achievements/SACRIFICE_FOLLOWERS","Sacrifice 20 of your Followers at the temple","25","Weigher of Souls","魂を計る者","Взвешивание душ","Pillage d'âmes","Seelenwieger","Envío de almas","Julgador de Almas","灵魂权衡者","靈魂權衡者","영혼의 무게를 재는 자","Waga dusz","""Achievements/SACRIFICE_FOLLOWERS"", """""
"Achievements/SACRIFICE_FOLLOWERS/Description","Sacrifice 20 of your Followers at the temple","100","Sacrifice 10 Followers.","信者を10人生贄にする","Принести в жертву 10 последователей.","Sacrifier 10 adeptes.","Opfere 10 Anhänger.","Sacrifica a 10 adeptos.","Sacrifique 10 Seguidores.","献祭 10 位教徒。","獻祭 10 位教徒。","추종자 10명을 번제합니다.","Poświęć 10 Wyznawców.","""Achievements/SACRIFICE_FOLLOWERS/Description"", """""
"Achievements/666_GOLD","Collect more than 666 Gold","25","Hoarder of Wealth","富を蓄えし者","Накопление богатств","Richesse démoniaque","Horter des Reichtums","Avaricia","Acumulador de Riqueza","财富囤积者","財富囤積者","부를 모으는 자","Poszukiwacz Bogactwa","""Achievements/666_GOLD"", """""
"Achievements/666_GOLD/Description","Collect more than 666 Gold","100","Have 666 gold coins.","金貨を666個所有する","Собрать 666 монет.","Avoir 666 pièces d'or.","Erhalte 666 Goldmünzen.","Consigue 666 monedas de oro.","Obtenha 666 moedas de ouro.","拥有 666 枚金币。","擁有 666 枚金幣。","666 금화를 모읍니다.","Posiadaj 666 złotych monet.","""Achievements/666_GOLD/Description"", """""
"Achievements/ALL_WEAPONS_UNLOCKED","Unlock every weapon in the game","25","Weapons of Plenty","武器の収集者","Изобилие оружия","Armes du troupeau","Fülle an Waffen","Armas a tutiplén","Abundância de Armas","武器完备","武器完備","무기 다양화","Bronie obfitości","""Achievements/ALL_WEAPONS_UNLOCKED"", """""
"Achievements/ALL_WEAPONS_UNLOCKED/Description","Unlock every weapon in the game","100","Unlock all weapons.","すべての武器をアンロックする","Открыть все виды оружия.","Débloquer toutes les armes.","Schalte alle Waffen frei.","Desbloquea todas las armas.","Desbloqueie todas as armas.","解锁所有武器。","解鎖所有武器。","모든 무기를 해금합니다.","Odblokuj wszystkie bronie.","""Achievements/ALL_WEAPONS_UNLOCKED/Description"", """""
"Achievements/ALL_CURSES_UNLOCKED","Unlock every curse in the game","25","Curses of Plenty","呪いの収集者","Изобилие проклятий","Maléfices du troupeau","Fülle an Flüchen","Maldiciones a tutiplén","Abundância de Maldições","咒术完备","咒術完備","저주 다양화","Klątwy obfitości","""Achievements/ALL_CURSES_UNLOCKED"", """""
"Achievements/ALL_CURSES_UNLOCKED/Description","Unlock every curse in the game","100","Unlock all curses.","すべての呪いをアンロックする","Открыть все проклятия.","Débloquer tous les maléfices.","Schalte alle Flüche frei.","Desbloquea todas las maldiciones.","Desbloqueie todas as maldições.","解锁所有咒术。","解鎖所有咒術。","모든 저주를 해금합니다.","Odblokuj wszystkie klątwy.","""Achievements/ALL_CURSES_UNLOCKED/Description"", """""
"Achievements/FULLY_UPGRADE_WEAPON","Upgrade a Weapon to its maximum power","25","Blessed Weapon","祝福されし武器","Благословенное оружие","Arme sacrée","Gesegnete Waffe","Arma bendecida","Arma Abençoada","受祝福的武器","受祝福的武器","축성 무기","Błogosławiona broń","""Achievements/FULLY_UPGRADE_WEAPON"", """""
"Achievements/FULLY_UPGRADE_WEAPON/Description","Upgrade a Weapon to its maximum power","100","Fully upgrade a weapon.","武器を最大強化する","Улучшить одно оружие полностью.","Améliorer une arme au maximum.","Verbessere eine Waffe vollständig.","Mejora una arma al máximo.","Aprimore uma arma até o máximo.","完全升级一把武器。","完全升級一把武器。","무기 하나를 최대로 업그레이드 합니다.","Pełne ulepszenie broni.","""Achievements/FULLY_UPGRADE_WEAPON/Description"", """""
"Achievements/FULLY_UPGRADE_CURSE","Upgrade a Curse to its maximum power","25","Blessed Curse","祝福されし呪い","Благословенное проклятие","Maléfice sacré","Gesegneter Fluch","Maldición bendecida","Maldição Abençoada","受祝福的咒术","受祝福的咒術","축성 저주","Błogosławione przekleństwo","""Achievements/FULLY_UPGRADE_CURSE"", """""
"Achievements/FULLY_UPGRADE_CURSE/Description","Upgrade a Curse to its maximum power","100","Fully upgrade a curse.","呪いを最大強化する","Улучшить одно проклятие полностью.","Améliorer un maléfice au maximum.","Verbessere einen Fluch vollständig.","Mejora una maldición al máximo.","Aprimore uma maldição até o máximo.","完全升级一项咒术。","完全升級一項咒術。","저주 하나를 최대로 업그레이드 합니다.","Pełne ulepszenie przekleństwa.","""Achievements/FULLY_UPGRADE_CURSE/Description"", """""
"Achievements/FULLY_UPGRADE_ALL_WEAPONS","Upgrade all Weapons to maximum power","25","Blessed Weapons of Plenty","祝福されし武器の収集者","Изобилие благословенного оружия","Armes sacrées du troupeau","Gesegnete Fülle an Waffen","Armas bendecidas a tutiplén","Abundância de Armas Abençoadas","受祝福的武器完备","受祝福的武器完備","축성 무기 다양화","Błogosławione bronie obfitości","""Achievements/FULLY_UPGRADE_ALL_WEAPONS"", """""
"Achievements/FULLY_UPGRADE_ALL_WEAPONS/Description","Upgrade all Weapons to maximum power","100","Fully upgrade all weapons.","すべての武器を最大強化する","Улучшить все виды оружия полностью.","Améliorer toutes les armes au maximum.","Verbessere alle Waffen vollständig.","Mejora todas las armas al máximo.","Aprimore todas as armas até o máximo.","完全升级所有武器。","完全升級所有武器。","모든 무기를 최대로 업그레이드 합니다.",".Błogosławione przekleństwa obfitości","""Achievements/FULLY_UPGRADE_ALL_WEAPONS/Description"", """""
"Achievements/FULLY_UPGRADE_ALL_CURSES","Upgrade all Curses to maximum power","25","Blessed Curses of Plenty","祝福されし呪いの収集者","Изобилие благословенных проклятий","Maléfices sacrés du troupeau","Gesegnete Fülle an Flüchen","Maldiciones bendecidas a tutiplén","Abundância de Maldições Abençoadas","受祝福的咒术完备","受祝福的咒術完備","축성 저주 다양화","Błogosławione przekleństwa obfitości","""Achievements/FULLY_UPGRADE_ALL_CURSES"", """""
"Achievements/FULLY_UPGRADE_ALL_CURSES/Description","Upgrade all Curses to maximum power","100","Fully upgrade all curses.","すべての呪いを最大強化する","Улучшить все проклятия полностью.","Améliorer tous les maléfices au maximum.","Verbessere alle Flüche vollständig.","Mejora todas las maldiciones al máximo.","Aprimore todas as maldições até o máximo.","完全升级所有咒术。","完全升級所有咒術。","모든 저주를 최대로 업그레이드 합니다.","Pełne ulepszenie wszystkich przekleństw.","""Achievements/FULLY_UPGRADE_ALL_CURSES/Description"", """""
"Achievements/FULLY_UPGRADED_SHRINE","Upgrade your Shrine to its highest level","25","Devotion","祈念","Преданность","Dévotion","Hingabe","Devoción","Devoção","虔诚","虔誠","헌신","Oddanie","""Achievements/FULLY_UPGRADED_SHRINE"", """""
"Achievements/FULLY_UPGRADED_SHRINE_OLD/Description","Upgrade your Shrine to its highest level","100","Build Shrine IV.","祭壇IVを建築する","Построить алтарь IV.","Construire l'Autel IV.","Errichte Schrein IV.","Construye el Santuario IV.","Construa o Santuário IV.","建造圣坛 IV。","建造聖壇 IV。","성지 IV를 짓습니다.","Zbuduj Kapliczkę IV.","""Achievements/FULLY_UPGRADED_SHRINE_OLD/Description"", """""
"Achievements/FULLY_UPGRADED_TEMPLE","Upgrade your Temple to its highest level","25","Enlightenment","啓示","Просветление","Éveil","Erleuchtung","Iluminación","Iluminação","启迪","啟迪","계몽","Oświecenie","""Achievements/FULLY_UPGRADED_TEMPLE"", """""
"Achievements/FULLY_UPGRADED_TEMPLE/Description","Upgrade your Temple to its highest level","100","Build Temple IV.","教会堂IVを建築する","Построить храм IV.","Construire le Temple IV.","Errichte Tempel IV.","Construye el Templo IV.","Construa o Templo IV.","建造圣殿 IV。","建造聖殿 IV。","사원 IV를 짓습니다.","Zbuduj Świątynię IV.","""Achievements/FULLY_UPGRADED_TEMPLE/Description"", """""
"Achievements/UNLOCK_TUNIC","Unlock a new Fleece for Lamb to wear","25","Transform","変身","Преображение","Transformation","Verwandlung","Transformación","Transformação","化形","化形","변이","Przekształcenie","""Achievements/UNLOCK_TUNIC"", """""
"Achievements/UNLOCK_TUNIC/Description","Unlock a new Fleece for Lamb to wear","100","Unlock a new fleece.","新しい羊毛をアンロックする","Открыть новое руно.","Débloquer une nouvelle pelisse.","Schalte ein neues Vlies frei.","Desbloquea un nuevo vellocino.","Desbloqueie uma nova lã.","解锁一件新毛纺。","解鎖一件新毛紡。","새로운 양털을 해금합니다.","Odblokuj nowe futro.","""Achievements/UNLOCK_TUNIC/Description"", """""
"Achievements/UNLOCK_ALL_TUNICS","Unlock all Fleeces for Lamb to wear","25","Transmute","転身","Трансмутация","Adaptation","Umwandlung","Transmutación","Transmutação","脱胎换骨","脫胎換骨","변화","Transmutuj","""Achievements/UNLOCK_ALL_TUNICS"", """""
"Achievements/UNLOCK_ALL_TUNICS/Description","Unlock all Fleeces for Lamb to wear","100","Unlock all fleeces.","すべての羊毛をアンロックする","Открыть все руна.","Débloquer toutes les pelisses.","Schalte alle Vliese frei.","Desbloquea todos los vellocinos.","Desbloqueie todas as lãs.","解锁所有毛纺。","解鎖所有毛紡。","모든 양털을 해금합니다.","Odblokuj wszystkie futra.","""Achievements/UNLOCK_ALL_TUNICS/Description"", """""
"Achievements/FEED_FOLLOWER_MEAT","Feed a follower the meat of their Brethren","25","Cannibal","共食い","Каннибализм","Cannibalisme","Kannibale","Caníbal","Canibal","同类相食","同類相食","식인","Kanibal","""Achievements/FEED_FOLLOWER_MEAT"", """""
"Achievements/FEED_FOLLOWER_MEAT/Description","Feed a follower the meat of their Brethren","100","Cook a Follower meat meal.","信者肉の料理を調理する","Приготовить блюдо из мяса последователя.","Cuisiner un plat de chair d'adepte.","Koche eine Anhänger-Fleischmahlzeit.","Cocina la carne de un adepto.","Cozinhe uma refeição de carne de Seguidor","烹煮教徒食用。","烹煮教徒之肉餐。","추종자 고기로 음식을 요리합니다.","Ugotuj mięsny posiłek dla wyznawcy.","""Achievements/FEED_FOLLOWER_MEAT/Description"", """""
"Achievements/UPGRADE_ALL_SERMONS","Upgrade all of the Sermons to maximum","25","Gospel","福音","Благая весть","Gospel","Die Lehre","Góspel","Evangelho","教义","教義","복음","Ewangelia","""Achievements/UPGRADE_ALL_SERMONS"", """""
"Achievements/UPGRADE_ALL_SERMONS/Description","Upgrade all of the Sermons to maximum","100","Unlock all sermon upgrades.","すべての教条をアンロックする","Открыть все улучшения проповедей.","Débloquer toutes les améliorations des sermons.","Schalte alle Predigtverbesserungen frei.","Desbloquea todas las mejoras de sermones.","Desbloqueie todos os aprimoramentos de sermões.","解锁所有布道升级。","解鎖所有講道的升級項目。","모든 설교 업그레이드를 해금합니다.","Odblokuj wszystkie ulepszenia kazania.","""Achievements/UPGRADE_ALL_SERMONS/Description"", """""
"Achievements/WIN_KNUCKLEBONES","Defeat an opponenet at Knucklebones","25","Game of Chance","運こそすべて","Азартная игра","Jeu de hasard","Glücksspiel","Juego de azar","Jogo de Azar","机运游戏","機運遊戲","확률 게임","Gra hazardowa","""Achievements/WIN_KNUCKLEBONES"", """""
"Achievements/WIN_KNUCKLEBONES/Description","Defeat an opponenet at Knucklebones","100","Win a game of Knucklebones.","Knucklebonesで1回勝利する","Выиграть в кости.","Gagner une partie d'Osselets.","Gewinne ein Astragaloi-Spiel","Gana una partida de matatena.","Vença um Jogo da Bugalha.","赢一场距骨骰。","贏一場距骨骰。","너클본의 게임을 승리합니다.","Wygraj grę kości","""Achievements/WIN_KNUCKLEBONES/Description"", """""
"Achievements/WIN_KNUCKLEBONES_ALL","Defeat all opponenets at knucklebones","25","Master of Chance","運をも支配せし者","Улыбка фортуны","Bonne fortune","Glücksmeister","Profesional del azar","Mestre do Acaso","机运主宰","機運主宰","확률의 지배자","Mistrz hazardu","""Achievements/WIN_KNUCKLEBONES_ALL"", """""
"Achievements/WIN_KNUCKLEBONES_ALL/Description","Defeat all opponenets at knucklebones","100","Defeat all opponents in Knucklebones.","Knucklebonesですべての相手に勝利する","Выиграть в кости у всех соперников.","Battre tous les adversaires aux Osselets.","Besiege alle Gegner bei Astragaloi.","Gana a todos los contrincantes a la matatena.","Derrote todos os oponentes no Jogo da Bugalha.","击败距骨骰的所有对手。","擊敗距骨骰的所有對手。","너클본의 모든 상대를 쓰러뜨립니다.","Pokonaj wszystkich przeciwników w kości.","""Achievements/WIN_KNUCKLEBONES_ALL/Description"", """""
"Achievements/FULLY_UPGRADED_SHRINE/Description","Upgrade your Cult to its highest level","100","Fully Upgrade Cult.","教団を最大強化する","Улучшить поселение до высшего уровня.","Culte amélioré au maximum.","Kult vollständig verbessern.","Mejora tu secta al máximo.","Aprimore o Culto até o Máximo.","完全升级圣教。","完全升級聖教。","교단 최대 업그레이드.","Pełne ulepszenie kultu.","""Achievements/FULLY_UPGRADED_SHRINE/Description"", """""
"UpgradeSystem/Unlock","This used before the name of what is being unlock. For example ""Unlock XYZ""","","Unlock","アンロック：","Постройка:","Débloquer","Freischalten:","Desbloquear","Desbloquear","解锁","解鎖","해금","Odblokuj","""UpgradeSystem/Unlock"", """""
"UpgradeSystem/Ability_Eat/Name","Rataus Shrine Unlock - Ability","25","The Hunger","飢餓","Голод","Satiété","Der Hunger","El Hambre","A Fome","饥饿","飢餓","굶주림","Głód","""UpgradeSystem/Ability_Eat/Name"", """""
"UpgradeSystem/Ability_Eat/Description","Rataus Shrine Unlock - Ability","100","Once a day, eat a meal <sprite name=""icon_Meal""> to receive a <sprite name=""icon_blueheart"">","1日に1度、料理 <sprite name=""icon_Meal""> を食べることで <sprite name=""icon_blueheart""> を1つ得られる。","Вы можете съесть <sprite name=""icon_Meal""> раз в день и получить <sprite name=""icon_blueheart"">.","Mangez un plat <sprite name=""icon_Meal""> une fois par jour pour recevoir un <sprite name=""icon_blueheart"">.","Nimm täglich eine Mahlzeit <sprite name=""icon_Meal""> zu dir, um ein <sprite name=""icon_blueheart""> zu erhalten.","Come un plato de <sprite name=""icon_Meal""> para recibir un <sprite name=""icon_blueheart"">.","Coma uma refeição <sprite name=""icon_Meal""> por dia para receber um <sprite name=""icon_blueheart"">","一天一次，吃一份餐点<sprite name=""icon_Meal"">获得一颗<sprite name=""icon_blueheart"">","一天一次，吃一份餐點 <sprite name=""icon_Meal""> 獲得一顆 <sprite name=""icon_blueheart"">","하루에 한 번, 음식 <sprite name=""icon_Meal"">을 먹어 <sprite name=""icon_blueheart"">을 획득합니다.","Raz dziennie zjedz posiłek <sprite name=""icon_Meal"">, aby otrzymać <sprite name=""icon_blueheart"">","""UpgradeSystem/Ability_Eat/Description"", """""
"UpgradeSystem/Ability_Resurrection/Name","Rataus Shrine Unlock - Ability","25","Resurrection","復活の儀","Оживление","Résurrection","Wiedererweckung","Resurrección","Ressurreição","复活","復活","부활","Wskrzeszenie","""UpgradeSystem/Ability_Resurrection/Name"", """""
"UpgradeSystem/Ability_Resurrection/Description","Rataus Shrine Unlock - Ability","100","When killed on a Crusade run for the first time, sacrifice a Follower to be resurrected.","聖戦中に死んだ時に1回だけ、信者を生贄にすることで復活できる。","Погибнув в походе, вы можете один раз пожертвовать своим последователем, чтобы возродиться.","Permet de ressusciter en sacrifiant un adepte lorsque vous mourrez dans un donjon pour la première fois.","Stirbst du zum ersten Mal auf einem Kreuzzug, kannst du wiedererweckt werden, indem du einen Anhänger opferst.","La primera vez que mueras en una cruzada, sacrifica a un adepto para resucitar.","Ao morrer em uma Cruzada pela primeira vez, sacrifique um Seguidor para ser ressuscitado.","进行圣战期间第一次被杀时，献祭一位教徒即可复活。","進行聖戰期間第一次被殺時，獻祭一位教徒即可復活。","처음 성전에서 사망할 경우, 추종자 한 명을 번제해 부활합니다.","Po zabiciu w trakcie krucjaty po raz pierwszy poświęć wyznawcę, aby zostać wskrzeszonym.","""UpgradeSystem/Ability_Resurrection/Description"", """""
"UpgradeSystem/Ability_TeleportHome/Name","Rataus Shrine Unlock - Ability 
  Omnipresence is the ability to be everywhere at once","25","Omnipresence","偏在の権能","Вездесущность","Omniprésence","Allgegenwärtigkeit","Omnipresencia","Onipresença","无所不在","無所不在","편재","Wszechobecność","""UpgradeSystem/Ability_TeleportHome/Name"", """""
"UpgradeSystem/Ability_TeleportHome/Description","Rataus Shrine Unlock - Ability 
  Fast travel","100","Focus whilst on a Crusade run to instantly return to the base.","聖戦中に意識を集中すると教団へと一瞬で戻れる。","Сосредоточившись в походе, вы можете мгновенно вернуться в поселение.","Concentrez-vous dans un donjon pour retourner instantanément à votre base.","Fokussiere deinen Geist, während du auf einem Kreuzzug bist, um sofort zum Basislager zurückzukehren.","Concéntrate mientras estás en una cruzada para volver al campamento instantáneamente.","Concentre-se quando estiver em uma Cruzada para voltar à base instantaneamente.","进行圣战期间集中精神，即可立即回到根据地。","進行聖戰期間集中精神，即可立即回到根據地。","성전에서 집중하여 즉시 기지로 돌아옵니다.","Skupienie podczas krucjaty umożliwia natychmiastowy powrót do bazy.","""UpgradeSystem/Ability_TeleportHome/Description"", """""
"UpgradeSystem/Building_AdvancedFarming/Name","Refer to Structures -","25","Scarecrow","かかし","Пугало","Épouvantail","Vogelscheuche","Espantapájaros","Espantalho","稻草人","稻草羊","허수아비","Strach na wróble","""UpgradeSystem/Building_AdvancedFarming/Name"", """""
"UpgradeSystem/Building_HealingBay/Name","Refer to Structures/HEALING_BAY","25","Healing Bay","治療所","Лечебница","Poste de soins","Heilquartier","Enfermería","Compartimento de Cura","治疗间","治療間","회복소","Zatoka uzdrowienia","""UpgradeSystem/Building_HealingBay/Name"", """""
"UpgradeSystem/Building_HealingBay2/Name","Refer to Structures/HEALING_BAY_2","25","Healing Bay II","治療所 II","Лечебница II","Poste de soins II","Heilquartier II","Enfermería II","Compartimento de Cura II","治疗间 II","治療間 II","회복소 II","Zatoka uzdrowienia II","""UpgradeSystem/Building_HealingBay2/Name"", """""
"UpgradeSystem/Building_HarvestTotem/Name","Refer to Structures/HARVEST_TOTEM","25","Harvest Totem","豊作のトーテム","Тотем урожая","Totem de culture","Erntetotem","Tótem de la cosecha","Totem da Colheita","收获图腾","收穫圖騰柱","수확의 토템","Totem Żniw","""UpgradeSystem/Building_HarvestTotem/Name"", """""
"UpgradeSystem/Building_JanitorStation/Name","Refer to Structures/JANITOR_STATION","25","Janitor Station","清掃用具庫","Чулан","Poste de nettoyage","Reinigungsposten","Estación de limpieza","Estação do Zelador","清洁员站","清潔員站","관리소","Stanowisko dozorcy","""UpgradeSystem/Building_JanitorStation/Name"", """""
"UpgradeSystem/Building_Beds/Name","Refer to Structures/BED","25","Sleeping Bags","寝袋","Спальный мешок","Sacs de couchage","Schlafsäcke","Sacos de dormir","Sacos de Dormir","睡袋","睡袋","침낭","Śpiwory","""UpgradeSystem/Building_Beds/Name"", """""
"UpgradeSystem/Building_BetterBeds/Name","Refer to Structures/BED_2","25","Shelter","テント","Хижина","Abri basique","Unterkunft","Refugio","Abrigo","休息处","休息處","주거지","Schronienie","""UpgradeSystem/Building_BetterBeds/Name"", """""
"UpgradeSystem/Building_Beds3/Name","Refer to Structures/BED_3","25","Grand Shelter","寝室","Шатёр","Abri agréable","Große Unterkunft","Gran refugio","Abrigo Grande","豪华休息处","豪華休息處","대형 주거지","Wielki schronienie","""UpgradeSystem/Building_Beds3/Name"", """""
"UpgradeSystem/Building_ConfessionBooth/Name","Refer to Structures/CONFESSION_BOOTH","25","Confession Booth","告解室","Исповедальня","Confessionnal","Beichtstuhl","Confesionario","Confessionário","告解室","告解室","고해성사실","Konfesjonał","""UpgradeSystem/Building_ConfessionBooth/Name"", """""
"UpgradeSystem/Building_BodyPit/Name","Refer to Structures/BODY_PIT","25","Body Pit","土葬穴","Могила","Fosse commune","Leichengrube","Fosa común","Cova","尸坑","屍坑","시체 구덩이","Dół Ciał","""UpgradeSystem/Building_BodyPit/Name"", """""
"UpgradeSystem/Building_Farms/Name","Refer to Structures/FARM_PLOT","25","Farm Plot","農作地","Участок земли","Parcelle agricole","Ackerparzelle","Parcela","Terreno Agrícola","农地","農地","밭 경작지","Działka rolna","""UpgradeSystem/Building_Farms/Name"", """""
"UpgradeSystem/Building_FollowerFarming_OLD/Name","Refer to Structures/FARM_STATION","25","Farmer Station","農産作業所","Ферма","Poste de fermier","Farm","Granja","Estação da Fazenda","农夫站","農夫站","농부 배치소","Stacja rolnicza","""UpgradeSystem/Building_FollowerFarming_OLD/Name"", """""
"UpgradeSystem/Building_Graves/Name","Refer to Structures/GRAVE","25","Natural Burial","堆肥葬施設","Компостное захоронение","Fosse naturelle","Natürliche Bestattung","Sepultura natural","Sepultamento Natural","自然葬点","自然葬點","수목장","Naturalny Pochówek","""UpgradeSystem/Building_Graves/Name"", """""
"UpgradeSystem/Building_Kitchen/Name","Refer to Structures/KITCHEN","25","Kitchen","キッチン","Кухня","Cuisine","Küche","Cocina","Cozinha","厨房","廚房","주방","Kuchnia","""UpgradeSystem/Building_Kitchen/Name"", """""
"UpgradeSystem/Building_LumberMine/Name","Refer to Structures/LUMBERJACK_STATION","25","Lumberyard","木材伐採所","Лесопилка","Poste de bûcheron","Holzplatz","Aserradero","Depósito de Madeiras","伐木工站","伐木工站","벌목소","Tartak","""UpgradeSystem/Building_LumberMine/Name"", """""
"UpgradeSystem/Building_FoodStorage/Name","Refer to Structures/FOOD_STORAGE","25","Food Storage Container","食料保管庫","Склад продовольствия","Réserve de nourriture","Lebensmittellager","Almacén de comida","Armazém de Alimentos","食物储藏架","食物儲藏架","음식 보관소 보관함","Pojemniki do przechowywania żywności","""UpgradeSystem/Building_FoodStorage/Name"", """""
"UpgradeSystem/Building_FoodStorage2/Name","Refer to Structures/FOOD_STORAGE_2","25","Food Storage Container II","食料保管庫 II","Склад продовольствия II","Réserve de nourriture II","Lebensmittellager II","Almacén de comida II","Armazém de Alimentos II","食物储藏架 II","食物儲藏架 II","음식 보관소 보관함 II","Pojemnik do przechowywania żywności II","""UpgradeSystem/Building_FoodStorage2/Name"", """""
